Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
03-Oct-2025,28-Oct-2025,XX,"-","24,950.40","25,020.00","24,878.60","25,006.60","25,007.10","25,006.60",4568925,"1,14,00,72,77,760.00","1,14,00,72,77,760.00",18015450,755550
01-Oct-2025,30-Dec-2025,XX,"-","25,000.00","25,260.00","25,000.00","25,247.50","25,259.00","25,247.50",173550,"4,36,00,82,542.50","4,36,00,82,542.50",133800,133800
01-Oct-2025,28-Oct-2025,XX,"-","24,751.80","24,986.50","24,725.00","24,967.20","24,982.80","24,967.20",5739675,"1,42,81,76,20,755.00","1,42,81,76,20,755.00",17259900,152775
01-Oct-2025,25-Nov-2025,XX,"-","24,888.00","25,109.00","24,870.60","25,093.60","25,109.00","25,093.60",402450,"10,06,44,93,630.00","10,06,44,93,630.00",1057050,-22275
30-Sep-2025,25-Nov-2025,XX,"-","24,958.60","25,008.90","24,857.60","24,914.30","24,925.70","24,914.30",356625,"8,88,81,85,830.00","8,88,81,85,830.00",1079325,132825
30-Sep-2025,30-Sep-2025,XX,"-","24,714.90","24,749.00","24,580.00","24,612.00","24,609.60","24,611.10",4837200,"1,19,23,81,35,112.50","1,19,23,81,35,112.50",3831600,-2298975
30-Sep-2025,28-Oct-2025,XX,"-","24,830.00","24,873.90","24,725.00","24,778.30","24,787.00","24,778.30",6311325,"1,56,45,60,45,157.50","1,56,45,60,45,157.50",17107125,3101625
29-Sep-2025,28-Oct-2025,XX,"-","24,865.40","24,965.10","24,770.00","24,809.20","24,825.00","24,809.20",6880575,"1,71,05,21,66,475.00","1,71,05,21,66,475.00",14005500,4237350
29-Sep-2025,25-Nov-2025,XX,"-","25,049.70","25,090.00","24,904.10","24,944.80","24,963.10","24,944.80",396750,"9,91,68,73,732.50","9,91,68,73,732.50",946500,107400
29-Sep-2025,30-Sep-2025,XX,"-","24,755.00","24,844.20","24,646.20","24,685.00","24,695.00","24,685.00",7128900,"1,76,38,30,42,267.50","1,76,38,30,42,267.50",6130575,-3561375
26-Sep-2025,28-Oct-2025,XX,"-","25,100.00","25,100.00","24,785.50","24,812.00","24,819.70","24,812.00",5554350,"1,38,31,49,08,620.00","1,38,31,49,08,620.00",9768150,3763650
26-Sep-2025,30-Sep-2025,XX,"-","24,929.90","24,929.90","24,663.10","24,689.90","24,700.00","24,689.90",7268550,"1,80,10,03,14,480.00","1,80,10,03,14,480.00",9691950,-2813100
26-Sep-2025,25-Nov-2025,XX,"-","25,160.10","25,172.40","24,914.00","24,946.30","24,950.00","24,946.30",421950,"10,56,32,66,812.50","10,56,32,66,812.50",839100,140550
25-Sep-2025,30-Sep-2025,XX,"-","25,100.00","25,133.00","24,954.10","24,967.70","24,962.00","24,967.70",5792775,"1,44,98,10,91,852.50","1,44,98,10,91,852.50",12505050,-1705650
25-Sep-2025,28-Oct-2025,XX,"-","25,237.00","25,256.90","25,081.00","25,093.70","25,087.40","25,093.70",3437325,"86,44,90,14,840.00","86,44,90,14,840.00",6004500,2316975
25-Sep-2025,25-Nov-2025,XX,"-","25,351.70","25,393.70","25,218.70","25,229.60","25,221.90","25,229.60",263475,"6,66,09,71,790.00","6,66,09,71,790.00",698550,88500
24-Sep-2025,28-Oct-2025,XX,"-","25,338.40","25,338.50","25,209.00","25,235.80","25,237.00","25,235.80",1667550,"42,13,25,74,200.00","42,13,25,74,200.00",3687525,810750
24-Sep-2025,30-Sep-2025,XX,"-","25,206.50","25,206.50","25,078.00","25,111.90","25,113.00","25,111.90",4835325,"1,21,54,46,81,677.50","1,21,54,46,81,677.50",14210700,-148200
24-Sep-2025,25-Nov-2025,XX,"-","25,500.00","25,500.00","25,344.00","25,373.60","25,373.00","25,373.60",201000,"5,10,53,38,500.00","5,10,53,38,500.00",610050,53400
23-Sep-2025,25-Nov-2025,XX,"-","25,500.10","25,585.00","25,420.00","25,517.20","25,518.50","25,517.20",157950,"4,02,69,40,657.50","4,02,69,40,657.50",556650,22125
23-Sep-2025,30-Sep-2025,XX,"-","25,277.70","25,333.20","25,158.00","25,255.80","25,252.00","25,255.80",4723725,"1,19,23,85,03,257.50","1,19,23,85,03,257.50",14358900,-398925
23-Sep-2025,28-Oct-2025,XX,"-","25,412.70","25,458.90","25,282.90","25,383.30","25,384.10","25,383.30",1022700,"25,94,74,86,547.50","25,94,74,86,547.50",2876775,243225
22-Sep-2025,28-Oct-2025,XX,"-","25,469.70","25,515.00","25,375.00","25,403.40","25,408.80","25,403.40",749400,"19,07,04,05,925.00","19,07,04,05,925.00",2633550,318975
22-Sep-2025,30-Sep-2025,XX,"-","25,350.00","25,394.50","25,248.60","25,277.70","25,276.00","25,277.70",3843900,"97,35,25,33,500.00","97,35,25,33,500.00",14757825,-249450
22-Sep-2025,25-Nov-2025,XX,"-","25,577.70","25,636.00","25,502.20","25,533.10","25,535.00","25,533.10",171600,"4,38,92,71,552.50","4,38,92,71,552.50",534525,63900
19-Sep-2025,25-Nov-2025,XX,"-","25,712.00","25,729.80","25,605.00","25,650.30","25,668.00","25,650.30",146625,"3,76,05,83,235.00","3,76,05,83,235.00",470625,5175
19-Sep-2025,30-Sep-2025,XX,"-","25,474.00","25,489.80","25,352.00","25,411.20","25,426.70","25,411.20",4724025,"1,19,99,82,41,362.50","1,19,99,82,41,362.50",15007275,-512625
19-Sep-2025,28-Oct-2025,XX,"-","25,629.10","25,629.10","25,475.00","25,534.50","25,541.00","25,534.50",874950,"22,33,03,02,487.50","22,33,03,02,487.50",2314575,370875
18-Sep-2025,25-Nov-2025,XX,"-","25,725.00","25,766.90","25,681.00","25,752.10","25,755.00","25,752.10",153975,"3,96,24,32,430.00","3,96,24,32,430.00",465450,31350
18-Sep-2025,28-Oct-2025,XX,"-","25,601.00","25,640.00","25,555.20","25,629.10","25,630.00","25,629.10",762300,"19,52,25,19,912.50","19,52,25,19,912.50",1943700,171000
18-Sep-2025,30-Sep-2025,XX,"-","25,480.20","25,525.00","25,435.10","25,510.90","25,510.00","25,510.90",4050300,"1,03,23,31,58,737.50","1,03,23,31,58,737.50",15519900,-175950
17-Sep-2025,28-Oct-2025,XX,"-","25,500.00","25,599.90","25,490.00","25,540.00","25,545.00","25,540.00",546375,"13,94,80,93,012.50","13,94,80,93,012.50",1772700,184950
17-Sep-2025,25-Nov-2025,XX,"-","25,643.20","25,678.50","25,600.80","25,664.10","25,668.00","25,664.10",125775,"3,22,58,52,300.00","3,22,58,52,300.00",434100,22275
17-Sep-2025,30-Sep-2025,XX,"-","25,365.00","25,446.70","25,362.80","25,423.40","25,422.00","25,423.40",3344850,"84,99,79,44,285.00","84,99,79,44,285.00",15695850,-386250
16-Sep-2025,28-Oct-2025,XX,"-","25,250.10","25,470.00","25,250.10","25,449.60","25,468.90","25,449.60",521700,"13,24,60,84,800.00","13,24,60,84,800.00",1587750,92025
16-Sep-2025,30-Sep-2025,XX,"-","25,178.70","25,354.00","25,152.00","25,331.40","25,351.10","25,331.40",4508175,"1,13,95,15,21,372.50","1,13,95,15,21,372.50",16082100,-572625
16-Sep-2025,25-Nov-2025,XX,"-","25,355.00","25,590.00","25,355.00","25,568.90","25,588.00","25,568.90",175125,"4,46,85,09,390.00","4,46,85,09,390.00",411825,50400
15-Sep-2025,25-Nov-2025,XX,"-","25,439.00","25,439.00","25,391.30","25,403.70","25,400.00","25,403.70",55125,"1,40,06,59,237.50","1,40,06,59,237.50",361425,10050
